2025-11-27T04:31:53.2534120Z Container start method called.
2025-11-27T04:31:53.2735446Z Establishing network.
2025-11-27T04:31:53.2809519Z Pulling image: appsvc/node:20-lts_20251016.4.tuxprod.
2025-11-27T04:31:54.0156389Z Container is starting.
2025-11-27T04:31:54.0238377Z Establishing user namespace if not established already.
2025-11-27T04:31:54.0322719Z Establishing network if not established already.
2025-11-27T04:31:54.0327510Z Mounting volumes.
2025-11-27T04:31:54.0358672Z Nested mountpoint 
2025-11-27T04:31:54.1111187Z Nested mountpoint volatile/logs
2025-11-27T04:31:54.1404370Z Nested mountpoint 
2025-11-27T04:31:54.1574922Z Nested mountpoint 
2025-11-27T04:31:54.2454345Z Nested mountpoint 
2025-11-27T04:31:55.1216717Z Creating container.
2025-11-27T04:31:55.1228225Z Creating pipes for streaming container io.
2025-11-27T04:31:55.1237371Z Creating stdout named pipe at /podr/container/pipe/1a9b579fb82d_creerlio-app/stdout_992c554fd8274aa9b4c4029598f0524f.
2025-11-27T04:31:55.2491213Z Successfully created stdout named pipe at: /podr/container/pipe/1a9b579fb82d_creerlio-app/stdout_992c554fd8274aa9b4c4029598f0524f.
2025-11-27T04:31:55.2564688Z Opening named pipe /podr/container/pipe/1a9b579fb82d_creerlio-app/stdout_992c554fd8274aa9b4c4029598f0524f for reading in non-blocking mode.
2025-11-27T04:31:55.2568574Z Successfully opened named pipe: /podr/container/pipe/1a9b579fb82d_creerlio-app/stdout_992c554fd8274aa9b4c4029598f0524f.
2025-11-27T04:31:55.2580846Z Successfully removed non-blocking flag from /podr/container/pipe/1a9b579fb82d_creerlio-app/stdout_992c554fd8274aa9b4c4029598f0524f.
2025-11-27T04:31:55.2593402Z Creating stderr named pipe at /podr/container/pipe/1a9b579fb82d_creerlio-app/stderr_69295d006144490780ba7423d1bbe9e9.
2025-11-27T04:31:55.2678352Z Successfully created stderr named pipe at: /podr/container/pipe/1a9b579fb82d_creerlio-app/stderr_69295d006144490780ba7423d1bbe9e9.
2025-11-27T04:31:55.2680900Z Opening named pipe /podr/container/pipe/1a9b579fb82d_creerlio-app/stderr_69295d006144490780ba7423d1bbe9e9 for reading in non-blocking mode.
2025-11-27T04:31:55.2749849Z Successfully opened named pipe: /podr/container/pipe/1a9b579fb82d_creerlio-app/stderr_69295d006144490780ba7423d1bbe9e9.
2025-11-27T04:31:55.2752142Z Successfully removed non-blocking flag from /podr/container/pipe/1a9b579fb82d_creerlio-app/stderr_69295d006144490780ba7423d1bbe9e9.
2025-11-27T04:31:55.2785843Z Creating container with image: appsvc/node:20-lts_20251016.4.tuxprod from registry: 10.1.0.4:13209 and fully qualified image name: 10.1.0.4:13209/appsvc/node:20-lts_20251016.4.tuxprod
2025-11-27T04:31:57.0526024Z Starting container: 1a9b579fb82d_creerlio-app.
2025-11-27T04:31:57.2359351Z Starting watchers and probes.
2025-11-27T04:31:57.2956622Z Starting metrics collection.
2025-11-27T04:31:57.3137828Z Container is running.
2025-11-27T04:31:57.7416378Z Container start method finished after 4429 ms.
2025-11-27T04:33:18.9501159Z Container has finished running with exit code: 127.
2025-11-27T04:33:19.3086159Z Container is terminating. Grace period: 5 seconds.
2025-11-27T04:33:20.7219238Z Stop and delete container. Retry count = 0
2025-11-27T04:33:20.7710446Z Stopping container: 1a9b579fb82d_creerlio-app.
2025-11-27T04:33:21.2624746Z Deleting container: 1a9b579fb82d_creerlio-app. Retry count = 0
2025-11-27T04:33:22.5433429Z Container spec TerminationMessagePolicy  path 
2025-11-27T04:33:22.6009738Z Container is terminated. Total time elapsed: 3215 ms.
2025-11-27T04:33:22.6082863Z Site container: creerlio-app terminated during site startup.
2025-11-27T04:33:22.8581412Z Site startup probe failed after 85.0846547 seconds.
2025-11-27T04:33:23.6540254Z Failed to start site. Revert by stopping site.
2025-11-27T04:33:24.0915011Z Site: creerlio-app stopped.
2025-11-27T04:33:44.750Z INFO  - 20-lts_20251016.4.tuxprod Pulling from appsvc/node
2025-11-27T04:33:45.542Z INFO  - c6b11972fd12 Pulling fs layer
2025-11-27T04:33:45.568Z INFO  - e2de071b945f Pulling fs layer
2025-11-27T04:33:45.569Z INFO  - ec95c0f17656 Pulling fs layer
2025-11-27T04:33:45.570Z INFO  - 466dbb61272e Pulling fs layer
2025-11-27T04:33:45.576Z INFO  - b90100a54c33 Pulling fs layer
2025-11-27T04:33:45.576Z INFO  - db667eb6a215 Pulling fs layer
2025-11-27T04:33:45.576Z INFO  - 1d68c959db08 Pulling fs layer
2025-11-27T04:33:45.576Z INFO  - 4162a85e6a99 Pulling fs layer
2025-11-27T04:33:45.576Z INFO  - 2035233ddd52 Pulling fs layer
2025-11-27T04:33:45.576Z INFO  - a9571099cab5 Pulling fs layer
2025-11-27T04:33:45.576Z INFO  - 662a633d5b17 Pulling fs layer
2025-11-27T04:33:45.586Z INFO  - 7904759a99e2 Pulling fs layer
2025-11-27T04:33:45.586Z INFO  - 26fd0ea5e193 Pulling fs layer
2025-11-27T04:33:45.586Z INFO  - f3d6acb78f3e Pulling fs layer
2025-11-27T04:33:45.586Z INFO  - 0c9422ccc7d4 Pulling fs layer
2025-11-27T04:33:45.586Z INFO  - bff0b1a6107c Pulling fs layer
2025-11-27T04:33:45.586Z INFO  - c10eb7f3ae42 Pulling fs layer
2025-11-27T04:33:45.586Z INFO  - 1b0937ba9692 Pulling fs layer
2025-11-27T04:33:45.586Z INFO  - 4f4fb700ef54 Pulling fs layer
2025-11-27T04:33:45.586Z INFO  - ee5e2a61e93f Pulling fs layer
2025-11-27T04:33:45.586Z INFO  - a299d250ab97 Pulling fs layer
2025-11-27T04:33:45.586Z INFO  - 2e5f19d50c40 Pulling fs layer
2025-11-27T04:33:45.587Z INFO  - 94d31f795579 Pulling fs layer
2025-11-27T04:33:45.587Z INFO  - 18c70f6ed5b8 Pulling fs layer
2025-11-27T04:33:45.587Z INFO  - fb49480510c1 Pulling fs layer
2025-11-27T04:33:45.587Z INFO  - 5cb83091061e Pulling fs layer
2025-11-27T04:33:45.587Z INFO  - 618cb520b534 Pulling fs layer
2025-11-27T04:33:45.587Z INFO  - b387b0839a3c Pulling fs layer
2025-11-27T04:33:45.587Z INFO  - befb3b667a4a Pulling fs layer
2025-11-27T04:33:45.587Z INFO  - a299d250ab97 Waiting
2025-11-27T04:33:45.587Z INFO  - 2e5f19d50c40 Waiting
2025-11-27T04:33:45.587Z INFO  - 94d31f795579 Waiting
2025-11-27T04:33:45.587Z INFO  - 18c70f6ed5b8 Waiting
2025-11-27T04:33:45.587Z INFO  - fb49480510c1 Waiting
2025-11-27T04:33:45.587Z INFO  - 5cb83091061e Waiting
2025-11-27T04:33:45.588Z INFO  - 618cb520b534 Waiting
2025-11-27T04:33:45.588Z INFO  - b387b0839a3c Waiting
2025-11-27T04:33:45.588Z INFO  - c98fb0ee9c52 Pulling fs layer
2025-11-27T04:33:45.588Z INFO  - fed34a6cff95 Pulling fs layer
